,City,Country,Latitude,Longitude,Date,Wind_Speed,Pressure,Humidity,Temperature,Cloudiness
0,Punta Arenas,CL,-53.15,-70.9167,1653147446,4.61,997,87,39.31,0
1,Yeppoon,AU,-23.1333,150.7333,1653147447,19.37,1016,90,65.98,100
2,Upernavik,GL,72.7868,-56.1549,1653147449,11.56,1009,81,27.34,100
3,Necochea,AR,-38.5473,-58.7368,1653147450,11.34,1018,57,59.77,0
4,Vao,NC,-22.6667,167.4833,1653147451,28.07,1012,91,72.66,100
5,Vaini,TO,-21.2,-175.2,1653147453,3.44,1015,83,73.56,75
6,Jamestown,US,42.097,-79.2353,1653147190,14.97,1016,67,80.53,75
7,Prince Rupert,CA,54.3161,-130.3201,1653147456,1.14,1025,96,44.55,0
8,Voh,NC,-20.9667,164.7,1653147458,3.69,1012,93,73.69,75
9,Praxédis Guerrero,MX,31.3667,-106.0167,1653147459,6.76,1012,17,74.66,0
10,Najrān,SA,17.4924,44.1277,1653147460,6.64,1011,9,93.85,22
11,Valparaíso,CL,-33.0393,-71.6273,1653147254,6.91,1023,69,61.86,0
12,Cabo San Lucas,MX,22.8909,-109.9124,1653147281,9.22,1009,68,72.23,0
13,Pedernales,DO,18.0384,-71.744,1653147464,1.79,1019,55,86.95,61
14,Gambēla,ET,8.25,34.5833,1653147465,2.71,1008,56,83.86,92
15,Shenjiamen,CN,29.9576,122.298,1653147466,5.17,1012,85,63.55,85
16,Busselton,AU,-33.65,115.3333,1653147468,9.35,1010,71,60.78,4
17,Novy Urengoy,RU,66.0833,76.6333,1653147469,5.75,1006,82,36.09,100
18,Yellowknife,CA,62.456,-114.3525,1653147470,3.44,1020,53,50.52,75
19,Aklavik,CA,68.2191,-135.0107,1653147472,10.36,1029,93,32.0,100
20,Ushuaia,AR,-54.8,-68.3,1653147461,17.27,993,75,42.46,100
21,Palmer,US,42.1584,-72.3287,1653147474,0.0,1016,85,72.07,100
22,Touros,BR,-5.1989,-35.4608,1653147314,13.49,1014,62,85.84,41
23,Santa Rosa,PH,14.3122,121.1114,1653147345,2.51,1008,82,80.47,100
24,Meulaboh,ID,4.1363,96.1285,1653147478,2.42,1010,83,79.63,100
25,Bredasdorp,ZA,-34.5322,20.0403,1653147479,7.49,1024,72,57.42,66
26,Hong Kong,HK,22.2855,114.1577,1653147310,13.0,1008,79,80.04,82
27,Albany,US,42.6001,-73.9662,1653147438,4.07,1014,82,76.8,64
28,Mabaruma,GY,8.2,-59.7833,1653147483,6.69,1017,55,84.72,92
29,Saint Simons,US,31.1352,-81.3901,1653147484,10.36,1023,60,81.46,75
30,Cabedelo,BR,-6.9811,-34.8339,1653147265,12.95,1015,73,86.67,31
31,Hermanus,ZA,-34.4187,19.2345,1653147486,8.37,1025,73,59.81,35
32,East London,ZA,-33.0153,27.9116,1653147488,4.61,1024,88,61.74,0
33,Tooele,US,40.5308,-112.2983,1653147490,3.44,1020,43,48.83,0
34,Rikitea,PF,-23.1203,-134.9692,1653147491,6.33,1016,74,74.71,11
35,Atuona,PF,-9.8,-139.0333,1653147494,9.98,1014,76,77.14,22
36,Makakilo City,US,21.3469,-158.0858,1653147488,0.0,1018,89,73.22,100
37,Singapore,SG,1.2897,103.8501,1653147497,2.3,1009,88,81.68,75
38,Lebu,CL,-37.6167,-73.65,1653147499,7.52,1024,79,55.35,80
